step,raw_hrv,raw_eda,action,tempo_bin,complexity_bin,output_file
131,15.069412679854851,1.2613528135480758,0,TEMPO_SLOW,COMPLEXITY_LOW,step131_TEMPO_SLOW_COMPLEXITY_LOW.mid
132,105.9271286605602,1.274209903834894,2,TEMPO_FAST,COMPLEXITY_LOW,step132_TEMPO_FAST_COMPLEXITY_LOW.mid
133,55.29277782991576,1.378985157660601,0,TEMPO_SLOW,COMPLEXITY_LOW,step133_TEMPO_SLOW_COMPLEXITY_LOW.mid
134,39.9713874164699,1.3893244913258165,0,TEMPO_SLOW,COMPLEXITY_LOW,step134_TEMPO_SLOW_COMPLEXITY_LOW.mid
135,40.82835380097185,1.4136508541998394,0,TEMPO_SLOW,COMPLEXITY_LOW,step135_TEMPO_SLOW_COMPLEXITY_LOW.mid
136,61.24658434558812,1.4202265467304809,0,TEMPO_SLOW,COMPLEXITY_LOW,step136_TEMPO_SLOW_COMPLEXITY_LOW.mid
137,26.359157702878004,1.4261814917234643,0,TEMPO_SLOW,COMPLEXITY_LOW,step137_TEMPO_SLOW_COMPLEXITY_LOW.mid
138,44.45227719064027,1.4195836356445086,0,TEMPO_SLOW,COMPLEXITY_LOW,step138_TEMPO_SLOW_COMPLEXITY_LOW.mid
139,100.1943072037631,1.4046727840506714,2,TEMPO_FAST,COMPLEXITY_LOW,step139_TEMPO_FAST_COMPLEXITY_LOW.mid
140,105.38139349637628,1.453624540479348,2,TEMPO_FAST,COMPLEXITY_LOW,step140_TEMPO_FAST_COMPLEXITY_LOW.mid
141,62.45106928165258,1.45093310038274,0,TEMPO_SLOW,COMPLEXITY_LOW,step141_TEMPO_SLOW_COMPLEXITY_LOW.mid
142,71.64279563903044,1.5425073651194725,0,TEMPO_SLOW,COMPLEXITY_LOW,step142_TEMPO_SLOW_COMPLEXITY_LOW.mid
143,30.8109322091893,1.5178990817644509,0,TEMPO_SLOW,COMPLEXITY_LOW,step143_TEMPO_SLOW_COMPLEXITY_LOW.mid
144,30.7023534659608,1.5129411384763822,0,TEMPO_SLOW,COMPLEXITY_LOW,step144_TEMPO_SLOW_COMPLEXITY_LOW.mid
145,31.199479880858867,1.5053633154811448,0,TEMPO_SLOW,COMPLEXITY_LOW,step145_TEMPO_SLOW_COMPLEXITY_LOW.mid
146,39.68724358844702,1.4963024653268726,0,TEMPO_SLOW,COMPLEXITY_LOW,step146_TEMPO_SLOW_COMPLEXITY_LOW.mid
147,36.1279934530856,1.481536592139208,0,TEMPO_SLOW,COMPLEXITY_LOW,step147_TEMPO_SLOW_COMPLEXITY_LOW.mid
148,31.69602844086203,1.526133044606785,0,TEMPO_SLOW,COMPLEXITY_LOW,step148_TEMPO_SLOW_COMPLEXITY_LOW.mid
149,37.38581874740383,1.6991171101049918,0,TEMPO_SLOW,COMPLEXITY_LOW,step149_TEMPO_SLOW_COMPLEXITY_LOW.mid
150,18.82067180189993,1.7090526884609405,0,TEMPO_SLOW,COMPLEXITY_LOW,step150_TEMPO_SLOW_COMPLEXITY_LOW.mid
151,27.337646913652065,1.8227433982572727,0,TEMPO_SLOW,COMPLEXITY_LOW,step151_TEMPO_SLOW_COMPLEXITY_LOW.mid
152,24.7367087929005,1.812968151889444,0,TEMPO_SLOW,COMPLEXITY_LOW,step152_TEMPO_SLOW_COMPLEXITY_LOW.mid
153,69.12385700088673,1.8725078767141763,0,TEMPO_SLOW,COMPLEXITY_LOW,step153_TEMPO_SLOW_COMPLEXITY_LOW.mid
154,46.19391248877291,1.8065697577672617,0,TEMPO_SLOW,COMPLEXITY_LOW,step154_TEMPO_SLOW_COMPLEXITY_LOW.mid
155,50.10526951723918,1.8546622298421676,0,TEMPO_SLOW,COMPLEXITY_LOW,step155_TEMPO_SLOW_COMPLEXITY_LOW.mid
156,20.85376240173408,1.914674709069175,0,TEMPO_SLOW,COMPLEXITY_LOW,step156_TEMPO_SLOW_COMPLEXITY_LOW.mid
157,24.03074715661964,1.9049461806184516,0,TEMPO_SLOW,COMPLEXITY_LOW,step157_TEMPO_SLOW_COMPLEXITY_LOW.mid
158,39.109759445169175,2.185657506801713,0,TEMPO_SLOW,COMPLEXITY_LOW,step158_TEMPO_SLOW_COMPLEXITY_LOW.mid
159,83.0256533959869,2.3048922128835505,0,TEMPO_SLOW,COMPLEXITY_LOW,step159_TEMPO_SLOW_COMPLEXITY_LOW.mid
160,17.571364046855305,2.4122458892793937,0,TEMPO_SLOW,COMPLEXITY_LOW,step160_TEMPO_SLOW_COMPLEXITY_LOW.mid
161,40.97701363274909,2.3815046768521397,0,TEMPO_SLOW,COMPLEXITY_LOW,step161_TEMPO_SLOW_COMPLEXITY_LOW.mid
162,64.54953082322963,2.504474213135416,0,TEMPO_SLOW,COMPLEXITY_LOW,step162_TEMPO_SLOW_COMPLEXITY_LOW.mid
163,90.21084352462768,2.6342193640272216,0,TEMPO_SLOW,COMPLEXITY_LOW,step163_TEMPO_SLOW_COMPLEXITY_LOW.mid
164,50.45985196651272,2.53512600768641,0,TEMPO_SLOW,COMPLEXITY_LOW,step164_TEMPO_SLOW_COMPLEXITY_LOW.mid
165,26.060677970877773,2.7173092695004724,0,TEMPO_SLOW,COMPLEXITY_LOW,step165_TEMPO_SLOW_COMPLEXITY_LOW.mid
166,28.328185352105223,2.7144915375583274,0,TEMPO_SLOW,COMPLEXITY_LOW,step166_TEMPO_SLOW_COMPLEXITY_LOW.mid
167,52.74048199967879,2.628474646334396,0,TEMPO_SLOW,COMPLEXITY_LOW,step167_TEMPO_SLOW_COMPLEXITY_LOW.mid
168,37.27100769824048,2.6795185606253824,0,TEMPO_SLOW,COMPLEXITY_LOW,step168_TEMPO_SLOW_COMPLEXITY_LOW.mid
169,44.04285688542907,2.9414378079360306,0,TEMPO_SLOW,COMPLEXITY_LOW,step169_TEMPO_SLOW_COMPLEXITY_LOW.mid
170,41.1788262683456,2.923481543870968,0,TEMPO_SLOW,COMPLEXITY_LOW,step170_TEMPO_SLOW_COMPLEXITY_LOW.mid
171,46.37842780047942,2.8764732714549544,0,TEMPO_SLOW,COMPLEXITY_LOW,step171_TEMPO_SLOW_COMPLEXITY_LOW.mid
172,42.58528494100392,2.945143998495854,0,TEMPO_SLOW,COMPLEXITY_LOW,step172_TEMPO_SLOW_COMPLEXITY_LOW.mid
173,31.77261513247245,2.919018837049813,0,TEMPO_SLOW,COMPLEXITY_LOW,step173_TEMPO_SLOW_COMPLEXITY_LOW.mid
174,54.64833885867316,3.1653872990664023,0,TEMPO_SLOW,COMPLEXITY_LOW,step174_TEMPO_SLOW_COMPLEXITY_LOW.mid
175,41.44977563542125,0.9420552165517444,0,TEMPO_SLOW,COMPLEXITY_LOW,step175_TEMPO_SLOW_COMPLEXITY_LOW.mid
176,46.58788296330141,0.9341216595045748,0,TEMPO_SLOW,COMPLEXITY_LOW,step176_TEMPO_SLOW_COMPLEXITY_LOW.mid
177,74.57878696286637,0.929970899115708,0,TEMPO_SLOW,COMPLEXITY_LOW,step177_TEMPO_SLOW_COMPLEXITY_LOW.mid
178,58.33362487779424,0.9191190761939684,0,TEMPO_SLOW,COMPLEXITY_LOW,step178_TEMPO_SLOW_COMPLEXITY_LOW.mid
179,56.75043827934685,0.9173949310277902,0,TEMPO_SLOW,COMPLEXITY_LOW,step179_TEMPO_SLOW_COMPLEXITY_LOW.mid
180,105.19057319618716,0.9311215036632048,2,TEMPO_FAST,COMPLEXITY_LOW,step180_TEMPO_FAST_COMPLEXITY_LOW.mid
181,46.86607057806928,0.93126317750869,0,TEMPO_SLOW,COMPLEXITY_LOW,step181_TEMPO_SLOW_COMPLEXITY_LOW.mid
182,55.59511063511442,0.9280760239966872,0,TEMPO_SLOW,COMPLEXITY_LOW,step182_TEMPO_SLOW_COMPLEXITY_LOW.mid
183,62.15772491364134,0.919123002075462,0,TEMPO_SLOW,COMPLEXITY_LOW,step183_TEMPO_SLOW_COMPLEXITY_LOW.mid
184,64.56069934741065,0.9105528563652256,0,TEMPO_SLOW,COMPLEXITY_LOW,step184_TEMPO_SLOW_COMPLEXITY_LOW.mid
185,43.16844610625944,0.8995746169306179,0,TEMPO_SLOW,COMPLEXITY_LOW,step185_TEMPO_SLOW_COMPLEXITY_LOW.mid
186,82.09320916326493,0.8904027126562185,0,TEMPO_SLOW,COMPLEXITY_LOW,step186_TEMPO_SLOW_COMPLEXITY_LOW.mid
187,67.76392929412138,0.8829986652635421,0,TEMPO_SLOW,COMPLEXITY_LOW,step187_TEMPO_SLOW_COMPLEXITY_LOW.mid
188,31.402947707445467,0.8817937936736567,0,TEMPO_SLOW,COMPLEXITY_LOW,step188_TEMPO_SLOW_COMPLEXITY_LOW.mid
189,77.37531114968264,0.8659063993630227,0,TEMPO_SLOW,COMPLEXITY_LOW,step189_TEMPO_SLOW_COMPLEXITY_LOW.mid
190,70.01862402068872,0.8532904772565042,0,TEMPO_SLOW,COMPLEXITY_LOW,step190_TEMPO_SLOW_COMPLEXITY_LOW.mid
191,49.83896971742426,0.8487097451369775,0,TEMPO_SLOW,COMPLEXITY_LOW,step191_TEMPO_SLOW_COMPLEXITY_LOW.mid
192,46.105469151872725,0.8383062429588761,0,TEMPO_SLOW,COMPLEXITY_LOW,step192_TEMPO_SLOW_COMPLEXITY_LOW.mid
193,42.253956328334816,0.8393551825955997,0,TEMPO_SLOW,COMPLEXITY_LOW,step193_TEMPO_SLOW_COMPLEXITY_LOW.mid
194,45.032661822257126,0.8316101041122046,0,TEMPO_SLOW,COMPLEXITY_LOW,step194_TEMPO_SLOW_COMPLEXITY_LOW.mid
195,42.26576105813225,0.830155743414438,0,TEMPO_SLOW,COMPLEXITY_LOW,step195_TEMPO_SLOW_COMPLEXITY_LOW.mid
196,69.93096693207106,0.8327343341049324,0,TEMPO_SLOW,COMPLEXITY_LOW,step196_TEMPO_SLOW_COMPLEXITY_LOW.mid
197,44.69853670617719,0.8236434016165481,0,TEMPO_SLOW,COMPLEXITY_LOW,step197_TEMPO_SLOW_COMPLEXITY_LOW.mid
198,73.44595557294272,0.8138151096163854,0,TEMPO_SLOW,COMPLEXITY_LOW,step198_TEMPO_SLOW_COMPLEXITY_LOW.mid
199,53.28494829016647,0.8199109939228157,0,TEMPO_SLOW,COMPLEXITY_LOW,step199_TEMPO_SLOW_COMPLEXITY_LOW.mid
